WELL,X,Y,MD,GR,RT,CN,DEN,DEPOSITIONAL_ENVIRONMENT,LITH_NAME,LITH_CODE
Well-9,0.364,1.8629,1103.3,74.07,4.6530000000000005,0.42,2.22,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.4,74.66,4.631,0.42,2.2,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.5,74.79,4.541,0.42,2.16,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.6,73.15,4.485,0.42,2.12,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.7,70.76,4.431,0.43,2.1,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.8,70.01,4.327,0.44,2.08,Continental,Marl clay,1400
Well-9,0.364,1.8629,1103.9,71.36,4.266,0.45,2.08,Continental,Marl clay,1400
Well-9,0.364,1.8629,1104.0,72.78,4.187,0.47,2.09,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.1,73.79,4.085,0.48,2.11,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.2,74.93,3.818,0.51,2.12,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.3,75.21,3.671,0.53,2.13,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.4,74.34,3.532,0.54,2.11,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.5,74.6,3.322,0.56,2.08,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.6,76.95,3.264,0.57,2.03,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.7,79.17,3.238,0.58,1.98,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.8,80.51,3.253,0.59,1.95,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1104.9,83.26,3.272,0.58,1.94,Continental,Marly sandstone,1200
Well-9,0.364,1.8629,1105.0,89.68,3.28,0.57,1.95,Continental,Coal clay,1100
Well-9,0.364,1.8629,1105.1,96.58,3.239,0.55,1.97,Continental,Coal clay,1100
Well-9,0.364,1.8629,1105.2,98.99,3.19,0.54,1.99,Continental,Coal clay,1100
Well-9,0.364,1.8629,1105.3,97.84,3.131,0.52,2.01,Continental,Coal clay,1100
Well-9,0.364,1.8629,1105.4,96.35,3.033,0.51,2.02,Continental,Coal clay,1100
Well-9,0.364,1.8629,1105.5,93.91,3.014,0.51,2.03,Continental,Coal clay,1100
Well-9,0.364,1.8629,1105.6,92.34,3.024,0.5,2.04,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1105.7,93.45,3.062,0.51,2.06,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1105.8,95.5,3.2,0.51,2.09,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1105.9,97.23,3.28,0.52,2.12,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1106.0,99.96,3.352,0.52,2.15,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1106.1,102.06,3.444,0.52,2.17,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1106.2,99.07,3.464,0.51,2.18,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1106.3,93.04,3.477,0.5,2.18,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1106.4,90.0,3.504,0.49,2.18,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1106.5,84.44,3.525,0.48,2.19,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1106.6,80.58,3.5460000000000003,0.47,2.2,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1106.7,79.86,3.552,0.47,2.21,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1106.8,82.99,3.523,0.47,2.2,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1106.9,87.45,3.4730000000000003,0.48,2.18,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.0,87.93,3.342,0.51,2.13,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.1,85.55,3.287,0.54,2.06,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.2,86.02,3.254,0.58,1.97,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.3,88.07,3.249,0.62,1.88,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.4,87.44,3.3160000000000003,0.65,1.81,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.5,86.74,3.372,0.66,1.76,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.6,90.16,3.427,0.65,1.74,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.7,97.13,3.5010000000000003,0.62,1.75,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.8,101.16,3.513,0.58,1.79,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1107.9,98.13,3.513,0.55,1.85,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1108.0,91.83,3.513,0.51,1.92,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.1,86.25,3.529,0.49,1.98,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.2,82.98,3.559,0.47,2.02,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.3,80.39,3.654,0.47,2.06,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.4,76.0,3.708,0.46,2.1,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.5,73.13,3.759,0.46,2.13,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.6,74.71,3.835,0.47,2.15,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.7,77.81,3.854,0.47,2.17,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.8,77.72,3.859,0.48,2.18,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1108.9,74.38,3.848,0.48,2.18,Transitional,Coal clay,1100
Well-9,0.364,1.8629,1109.0,72.92,3.778,0.49,2.17,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.1,75.07,3.718,0.49,2.17,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.2,78.43,3.642,0.49,2.16,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.3,81.41,3.457,0.5,2.15,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.4,82.07,3.362,0.5,2.13,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.5,80.76,3.276,0.51,2.1,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.6,79.89,3.173,0.5,2.06,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.7,78.98,3.168,0.49,2.03,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.8,79.76,3.201,0.48,2.02,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1109.9,81.59,3.3680000000000003,0.46,2.03,Transitional,Sandy marl,1300
Well-9,0.364,1.8629,1144.7,67.71,3.769,0.37,2.15,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1144.8,67.07,3.201,0.39,2.14,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1144.9,65.17,2.952,0.41,2.12,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1145.0,66.43,2.744,0.44,2.1,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1145.1,71.2,2.475,0.47,2.07,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1145.2,77.29,2.419,0.49,2.05,Transitional,Clay,100
Well-9,0.364,1.8629,1145.3,82.52,2.414,0.51,2.04,Transitional,Clay,100
Well-9,0.364,1.8629,1145.4,85.03,2.455,0.51,2.04,Transitional,Clay,100
Well-9,0.364,1.8629,1145.5,86.71,2.642,0.49,2.05,Transitional,Clay,100
Well-9,0.364,1.8629,1145.6,89.82,2.761,0.48,2.07,Transitional,Clay,100
Well-9,0.364,1.8629,1145.7,92.57,2.873,0.46,2.09,Transitional,Clay,100
Well-9,0.364,1.8629,1145.8,94.18,3.006,0.45,2.11,Transitional,Clay,100
Well-9,0.364,1.8629,1145.9,95.27,3.009,0.45,2.13,Transitional,Clay,100
Well-9,0.364,1.8629,1146.0,91.4,2.97,0.44,2.14,Transitional,Clay,100
Well-9,0.364,1.8629,1146.1,80.91,2.815,0.45,2.13,Transitional,Clay,100
Well-9,0.364,1.8629,1146.2,68.75,2.728,0.47,2.11,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1146.3,61.47,2.65,0.49,2.07,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1146.4,60.37,2.548,0.5,2.05,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1146.5,63.72,2.529,0.5,2.04,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1146.6,71.91,2.53,0.49,2.04,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1146.7,82.28,2.59,0.48,2.05,Transitional,Clay,100
Well-9,0.364,1.8629,1146.8,89.46,2.647,0.47,2.06,Transitional,Clay,100
Well-9,0.364,1.8629,1146.9,93.91,2.724,0.45,2.08,Transitional,Clay,100
Well-9,0.364,1.8629,1147.0,96.46,2.82,0.44,2.09,Transitional,Clay,100
Well-9,0.364,1.8629,1147.1,94.75,3.077,0.43,2.1,Transitional,Clay,100
Well-9,0.364,1.8629,1147.2,91.93,3.236,0.41,2.1,Transitional,Clay,100
Well-9,0.364,1.8629,1147.3,91.03,3.409,0.41,2.11,Transitional,Clay,100
Well-9,0.364,1.8629,1147.4,88.52,3.767,0.4,2.12,Transitional,Clay,100
Well-9,0.364,1.8629,1147.5,83.94,3.935,0.39,2.13,Transitional,Clay,100
Well-9,0.364,1.8629,1147.6,82.15,4.085,0.39,2.14,Transitional,Clay,100
Well-9,0.364,1.8629,1147.7,82.64,4.319,0.38,2.15,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1147.8,83.16,4.402,0.37,2.16,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1147.9,79.78,4.466,0.37,2.17,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1148.0,73.92,4.54,0.36,2.17,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1148.1,68.38,4.55,0.35,2.17,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1148.2,63.19,4.539,0.35,2.16,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1148.3,59.79,4.457,0.34,2.15,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1148.4,59.14,4.394,0.33,2.14,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1148.5,59.53,4.3260000000000005,0.33,2.13,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1148.6,59.37,4.2639999999999985,0.33,2.12,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1148.7,58.7,4.186,0.32,2.11,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1148.8,56.83,4.181,0.33,2.12,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1148.9,53.2,4.203,0.33,2.13,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1149.0,49.78,4.319,0.34,2.14,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1149.1,49.64,4.405,0.34,2.16,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1149.2,52.2,4.501,0.34,2.18,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1149.3,53.26,4.665,0.34,2.2,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1149.4,52.2,4.702,0.34,2.22,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1149.5,51.99,4.688,0.35,2.24,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1149.6,54.5,4.481,0.35,2.25,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1149.7,60.31,4.296,0.37,2.23,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1149.8,67.38,4.077,0.39,2.2,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1149.9,72.87,3.618,0.42,2.15,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1150.0,76.31,3.4160000000000004,0.45,2.1,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1150.1,78.81,3.248,0.49,2.05,Transitional,Marl clay,1400
Well-9,0.364,1.8629,1150.2,81.08,3.12,0.52,2.01,Transitional,Clay,100
Well-9,0.364,1.8629,1150.3,84.64,2.975,0.55,1.99,Transitional,Clay,100
Well-9,0.364,1.8629,1150.4,89.4,2.946,0.57,1.98,Transitional,Clay,100
Well-9,0.364,1.8629,1150.5,92.15,2.9360000000000004,0.58,1.97,Transitional,Clay,100
Well-9,0.364,1.8629,1150.6,91.07,2.926,0.58,1.96,Transitional,Clay,100
Well-9,0.364,1.8629,1150.7,88.47,2.911,0.58,1.96,Transitional,Clay,100
Well-9,0.364,1.8629,1150.8,87.78,2.881,0.58,1.96,Transitional,Clay,100
Well-9,0.364,1.8629,1150.9,87.67,2.781,0.57,1.97,Transitional,Clay,100
Well-9,0.364,1.8629,1151.0,88.24,2.72,0.57,1.98,Transitional,Clay,100
Well-9,0.364,1.8629,1151.1,89.88,2.659,0.58,2.0,Transitional,Clay,100
Well-9,0.364,1.8629,1151.2,91.54,2.5660000000000003,0.58,2.01,Transitional,Clay,100
Well-9,0.364,1.8629,1151.3,90.55,2.544,0.59,2.01,Transitional,Clay,100
Well-9,0.364,1.8629,1151.4,87.87,2.541,0.59,2.01,Transitional,Clay,100
Well-9,0.364,1.8629,1151.5,87.15,2.595,0.59,2.01,Transitional,Clay,100
Well-9,0.364,1.8629,1151.6,90.14,2.649,0.59,2.01,Transitional,Clay,100
Well-9,0.364,1.8629,1151.7,96.45,2.717,0.58,2.0,Transitional,Clay,100
Well-9,0.364,1.8629,1151.8,103.06,2.8,0.56,2.0,Transitional,Clay,100
Well-9,0.364,1.8629,1151.9,106.85,3.007,0.53,2.01,Transitional,Clay,100
Well-9,0.364,1.8629,1152.0,107.42,3.135,0.5,2.03,Transitional,Clay,100
Well-9,0.364,1.8629,1152.1,105.28,3.285,0.46,2.06,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1152.2,103.3,3.684,0.42,2.1,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1152.3,102.35,3.955,0.38,2.16,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1152.4,98.95,4.3,0.34,2.22,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1152.5,92.64,5.3420000000000005,0.29,2.27,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1152.6,87.71,6.152,0.25,2.33,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1152.7,86.11,7.275,0.22,2.38,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1152.8,85.28,11.06,0.19,2.43,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1152.9,81.79,14.107,0.16,2.48,Transitional,Siltstone clay,1500
Well-9,0.364,1.8629,1153.0,76.59,18.144,0.14,2.54,Transitional,Tight,800
Well-9,0.364,1.8629,1153.1,72.98,28.713,0.12,2.6,Transitional,Tight,800
Well-9,0.364,1.8629,1153.2,70.09,34.089,0.11,2.65,Transitional,Tight,800
Well-9,0.364,1.8629,1153.3,65.13,38.197,0.1,2.68,Transitional,Tight,800
Well-9,0.364,1.8629,1153.4,57.34,40.046,0.09,2.7,Transitional,Tight,800
Well-9,0.364,1.8629,1153.5,49.44,35.743,0.09,2.71,Transitional,Tight,800
Well-9,0.364,1.8629,1153.6,44.56,30.68,0.1,2.71,Transitional,Tight,800
Well-9,0.364,1.8629,1153.7,41.82,25.033,0.11,2.69,Transitional,Tight,800
Well-9,0.364,1.8629,1153.8,40.07,15.258,0.12,2.65,Transitional,Tight,800
Well-9,0.364,1.8629,1153.9,39.7,11.831,0.13,2.57,Transitional,Tight,800
Well-9,0.364,1.8629,1154.0,40.26,9.354,0.16,2.49,Transitional,Tight,800
Well-9,0.364,1.8629,1154.1,42.76,6.507999999999999,0.19,2.42,Transitional,Tight,800
Well-9,0.364,1.8629,1154.2,45.5,5.7860000000000005,0.22,2.37,Transitional,Tight,800
Well-9,0.364,1.8629,1154.3,49.58,5.357,0.26,2.34,Transitional,Tight,800
Well-9,0.364,1.8629,1154.4,56.2,5.058,0.29,2.32,Transitional,Tight,800
Well-9,0.364,1.8629,1154.5,63.6,5.073,0.31,2.31,Transitional,Tight,800
Well-9,0.364,1.8629,1154.6,71.96,5.134,0.33,2.31,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1154.7,78.93,5.2620000000000005,0.33,2.3,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1154.8,81.22,5.285,0.33,2.3,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1154.9,79.79,5.273,0.32,2.29,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1155.0,77.96,5.233,0.31,2.28,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1155.1,77.11,5.122000000000001,0.31,2.28,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1155.2,76.01,5.078,0.31,2.27,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1155.3,72.76,5.053,0.31,2.27,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1155.4,69.48,5.063,0.31,2.27,Transitional,Marly sandstone,1200
Well-9,0.364,1.8629,1155.5,69.51,5.09,0.31,2.28,Transitional,Marly sandstone,1200
